timestamp,high,low,close,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,lagging_span,lagging_span_now,senkou_span_a_now,senkou_span_b_now,lagging_span_out_a,lagging_span_out_b,wallet,hodl
2023-01-01 00:00:00,16529.67,16529.67,16529.67,,,100000000.0,100000000.0,16587.85,,,,False,False,1000.0,1000.0
2023-01-01 01:00:00,16551.47,16551.47,16551.47,,,100000000.0,100000000.0,16661.94,,,,False,False,1000.0,1001.3188406060135
2023-01-01 02:00:00,16548.19,16548.19,16548.19,,,100000000.0,100000000.0,16639.44,,,,False,False,1000.0,1001.1204095423562
2023-01-01 03:00:00,16533.04,16533.04,16533.04,,,100000000.0,100000000.0,16647.58,,,,False,False,1000.0,1000.2038758184527
2023-01-01 04:00:00,16521.85,16521.85,16521.85,,,100000000.0,100000000.0,16641.1,,,,False,False,1000.0,999.5269113055493
2023-01-01 05:00:00,16530.71,16530.71,16530.71,,,100000000.0,100000000.0,16721.28,,,,False,False,1000.0,1000.0629171665255
2023-01-01 06:00:00,16539.79,16539.79,16539.79,,,100000000.0,100000000.0,16733.71,,,,False,False,1000.0,1000.6122324281127
2023-01-01 07:00:00,16526.19,16526.19,16526.19,,,100000000.0,100000000.0,16717.5,,,,False,False,1000.0,999.7894694812419
2023-01-01 08:00:00,16513.34,16513.34,16513.34,16532.405,,100000000.0,100000000.0,16727.95,,,,False,False,1000.0,999.0120794910002
2023-01-01 09:00:00,16537.88,16537.88,16537.88,16532.405,,100000000.0,100000000.0,16735.11,,,,False,False,1000.0,1000.4966826318979
2023-01-01 10:00:00,16548.34,16548.34,16548.34,16530.84,,100000000.0,100000000.0,16721.54,,,,False,False,1000.0,1001.1294841336821
2023-01-01 11:00:00,16556.66,16556.66,16556.66,16535.0,,100000000.0,100000000.0,16694.78,,,,False,False,1000.0,1001.6328214658854
2023-01-01 12:00:00,16560.93,16560.93,16560.93,16537.135000000002,,100000000.0,100000000.0,16698.69,,,,False,False,1000.0,1001.8911448322926
2023-01-01 13:00:00,16548.04,16548.04,16548.04,16537.135000000002,,100000000.0,100000000.0,16734.66,,,,False,False,1000.0,1001.1113349510306
2023-01-01 14:00:00,16542.94,16542.94,16542.94,16537.135000000002,,100000000.0,100000000.0,16710.88,,,,False,False,1000.0,1000.802798845954
2023-01-01 15:00:00,16558.73,16558.73,16558.73,16537.135000000002,,100000000.0,100000000.0,16715.42,,,,False,False,1000.0,1001.7580508261811
2023-01-01 16:00:00,16565.14,16565.14,16565.14,16539.239999999998,,100000000.0,100000000.0,16723.81,,,,False,False,1000.0,1002.1458383621695
2023-01-01 17:00:00,16578.85,16578.85,16578.85,16558.364999999998,,100000000.0,100000000.0,16737.56,,,,False,False,1000.0,1002.9752560093457
2023-01-01 18:00:00,16591.88,16591.88,16591.88,16567.41,,100000000.0,100000000.0,16728.52,,,,False,False,1000.0,1003.7635355091785
2023-01-01 19:00:00,16603.08,16603.08,16603.08,16573.010000000002,,100000000.0,100000000.0,16757.76,,,,False,False,1000.0,1004.4411049948368
2023-01-01 20:00:00,16604.51,16604.51,16604.51,16573.725,,100000000.0,100000000.0,16698.4,,,,False,False,1000.0,1004.527616098809
2023-01-01 21:00:00,16606.68,16606.68,16606.68,16574.809999999998,,100000000.0,100000000.0,16672.87,,,,False,False,1000.0,1004.6588951866554
2023-01-01 22:00:00,16602.12,16602.12,16602.12,16574.809999999998,,100000000.0,100000000.0,16695.59,,,,False,False,1000.0,1004.3830276103516
2023-01-01 23:00:00,16616.75,16616.75,16616.75,16587.739999999998,,100000000.0,100000000.0,16677.6,,,,False,False,1000.0,1005.2681027509927
2023-01-02 00:00:00,16588.35,16588.35,16588.35,16590.945,,100000000.0,100000000.0,16674.03,,,,False,False,1000.0,1003.549980126645
2023-01-02 01:00:00,16565.04,16565.04,16565.04,16590.895,16565.045,100000000.0,100000000.0,16691.81,16587.85,100000000.0,100000000.0,False,False,1000.0,1002.139788634619
2023-01-02 02:00:00,16587.85,16587.85,16587.85,16590.895,16565.045,100000000.0,100000000.0,16685.64,16661.94,100000000.0,100000000.0,False,False,1000.0,1003.5197314888924
2023-01-02 03:00:00,16661.94,16661.94,16661.94,16613.489999999998,16587.64,100000000.0,100000000.0,16725.5,16639.44,100000000.0,100000000.0,False,False,1000.0,1008.0019746310725
2023-01-02 04:00:00,16639.44,16639.44,16639.44,16613.489999999998,16587.64,100000000.0,100000000.0,16727.58,16647.58,100000000.0,100000000.0,False,False,1000.0,1006.6407859322055
2023-01-02 05:00:00,16647.58,16647.58,16647.58,16613.489999999998,16587.64,100000000.0,100000000.0,16729.74,16641.1,100000000.0,100000000.0,False,False,1000.0,1007.1332337548181
2023-01-02 06:00:00,16641.1,16641.1,16641.1,16613.489999999998,16587.64,100000000.0,100000000.0,16715.22,16721.28,100000000.0,100000000.0,False,False,1000.0,1006.7412114095442
2023-01-02 07:00:00,16721.28,16721.28,16721.28,16643.16,16617.309999999998,100000000.0,100000000.0,16741.31,16733.71,100000000.0,100000000.0,False,False,1000.0,1011.591882959551
2023-01-02 08:00:00,16733.71,16733.71,16733.71,16649.375,16623.525,100000000.0,100000000.0,16724.32,16717.5,100000000.0,100000000.0,False,False,1000.0,1012.3438640940806
2023-01-02 09:00:00,16717.5,16717.5,16717.5,16649.375,16623.525,100000000.0,100000000.0,16721.03,16727.95,100000000.0,100000000.0,False,False,1000.0,1011.3632032581414
2023-01-02 10:00:00,16727.95,16727.95,16727.95,16660.78,16635.795,100000000.0,100000000.0,16710.85,16735.11,100000000.0,100000000.0,False,False,1000.0,1011.9953997871708
2023-01-02 11:00:00,16735.11,16735.11,16735.11,16687.275,16639.025,100000000.0,100000000.0,16725.53,16721.54,100000000.0,100000000.0,False,False,1000.0,1012.4285602797879
2023-01-02 12:00:00,16721.54,16721.54,16721.54,16687.275,16639.025,100000000.0,100000000.0,16661.23,16694.78,100000000.0,100000000.0,False,False,1000.0,1011.6076122511824
2023-01-02 13:00:00,16694.78,16694.78,16694.78,16688.105,16639.025,100000000.0,100000000.0,16676.94,16698.69,100000000.0,100000000.0,False,False,1000.0,1009.9887051586633
2023-01-02 14:00:00,16698.69,16698.69,16698.69,16688.105,16639.025,100000000.0,100000000.0,16622.58,16734.66,100000000.0,100000000.0,False,False,1000.0,1010.2252495058885
2023-01-02 15:00:00,16734.66,16734.66,16734.66,16714.945,16639.025,100000000.0,100000000.0,16633.65,16710.88,100000000.0,100000000.0,False,False,1000.0,1012.4013365058106
2023-01-02 16:00:00,16710.88,16710.88,16710.88,16714.945,16646.92,100000000.0,100000000.0,16645.08,16715.42,100000000.0,100000000.0,False,False,1000.0,1010.962711294297
2023-01-02 17:00:00,16715.42,16715.42,16715.42,16714.945,16650.075,100000000.0,100000000.0,16643.37,16723.81,100000000.0,100000000.0,False,False,1000.0,1011.2373689250904
2023-01-02 18:00:00,16723.81,16723.81,16723.81,16714.945,16650.075,100000000.0,100000000.0,16661.37,16737.56,100000000.0,100000000.0,False,False,1000.0,1011.7449410665793
